name,description,path
architecture,🏗 Architecture & Design,ARCHITECTURE.md
llm-strategy,🧠 Boosting LLM Intelligence with Linked-Mind,LLM_STRATEGY.md
Map Index,"The Documentation Index Map System (compiled as the map-builder executable target) scans the docs directory in your workspace, extracts metadata from each file (frontmatter for Markdown, comments and filenames for Zig), and rebuilds the structured index map representing your knowledge base.",MAP_INDEX.md
llm-wiki,Source: https://gist.githubusercontent.com/karpathy/442a6bf555914893e9891c11519de94f/raw,llm_wiki.md
map,`map.csv` - CSV Data Format for mapping knowledge base,map.md
,Superpowers,superpowers/
,Plans,superpowers/plans/
2026-06-01-mindmap-rag-plan,Mind-Map RAG Implementation Plan,superpowers/plans/2026-06-01-mindmap-rag-plan.md
,Specs,superpowers/specs/
2026-06-01-mindmap-rag-design,Mind-Map RAG: Reasoning-Based Retrieval Over Long Documents,superpowers/specs/2026-06-01-mindmap-rag-design.md
